PrescriptionID,ComponentID,LatinName,ChineseName,ComponentQuantity,Barcode
TCMFx6238,TCMH484,Claoxylon indicum,丢了棒,TCMH484,
TCMFx6238,TCMH485,Solanum coagulans forsk,丁茄根,TCMH485,
TCMFx6239,TCMH2695,,猪胆,TCMH2695,
TCMFx6241,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6241,TCMH2681,Caulis bambusae in taeniam,竹茹,TCMH2681,
TCMF6242,TCMH1142,Schizonepetae spica,荆芥穗,TCMH1142,
TCMFx6243,TCMH259,Halloysitum rubrum,赤石脂,TCMH259,
TCMFx6243,TCMH2549,Limonitum,禹余粮,TCMH2549,
TCMFx6243,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6243,TCMH2720,Fluoritum,紫石英,TCMH2720,
TCMFx6243,TCMH2601,Haematitum,赭石,TCMH2601,
TCMFx6248,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMF6249,TCMH1142,Schizonepetae spica,荆芥穗,TCMH1142,
TCMFx6250,TCMH2357,Crinis carbonisatus,血余炭,TCMH2357,
TCMFx6250,TCMH1666,catharsii molosii,蜣螂,TCMH1666,
TCMFx6250,TCMH1654,Minium,铅丹,TCMH1654,
TCMFx6251,TCMH856,Cudrania cochin chinensis,红穿破石,TCMH856,
TCMFx6251,TCMH1990,,水河剑,TCMH1990,
TCMF6252,TCMH541,Colla corii asini,阿胶,TCMH541,
TCMFx6255,TCMH2009,Methyl salicylatum,水杨酸甲酯,TCMH2009,
TCMF6257,TCMH1142,Schizonepetae spica,荆芥穗,TCMH1142,
TCMFx6258,TCMH1179,Citri exocarpium rubrum,橘红,TCMH1179,
TCMFx6262,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6262,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMF6264,TCMH1617,Eriobotrya japonica thunb,枇杷叶,TCMH1617,ITSAN1970-14
TCMF6264,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6265,TCMH702,Fructus setariae germinatus,谷芽,TCMH702,
TCMFx6265,TCMH1171,Aspongopus,九香虫,TCMH1171,
TCMFx6267,TCMH1745,,肉桂油,TCMH1745,
TCMFx6267,TCMH506,,冬青油,TCMH506,
TCMFx6270,TCMH233,Bufonis venenum,蟾酥,TCMH233,
TCMFx6270,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6270,TCMH2695,,猪胆,TCMH2695,
TCMF6271,TCMH1142,Schizonepetae spica,荆芥穗,TCMH1142,
TCMF6271,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6273,TCMH702,Fructus setariae germinatus,谷芽,TCMH702,
TCMFx6273,TCMH1171,Aspongopus,九香虫,TCMH1171,
TCMFx6276,TCMH1081,,桔梗酊,TCMH1081,
TCMFx6276,TCMH2394,,盐酸麻黄碱,TCMH2394,
TCMFx6276,TCMH1789,,桑白皮酊,TCMH1789,
TCMFx6276,TCMH1170,,酒石酸锑钾,TCMH1170,
TCMF6278,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6280,TCMH1026,Gallus gallus domesticus,鸡内金,TCMH1026,ACLB009-06
TCMFx6280,TCMH702,Fructus setariae germinatus,谷芽,TCMH702,
TCMF6281,TCMH1364,Piper paepuloides roxb,芦子,TCMH1364,
TCMF6281,TCMH541,Colla corii asini,阿胶,TCMH541,
TCMFx6282,TCMH621,Fructus tritici levis,浮小麦,TCMH621,
TCMFx6283,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6283,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6283,TCMH2610,Concha margaritifera usta;Margarita,珍珠母,TCMH2610,
TCMFx6284,TCMH2610,Concha margaritifera usta;Margarita,珍珠母,TCMH2610,
TCMFx6284,TCMH1337,Calamina,炉甘石,TCMH1337,
TCMFx6285,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6285,TCMH987,Baicalinum,黄芩甙,TCMH987,
TCMFx6285,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6285,TCMH1692,Lapis chloriti,青礞石,TCMH1692,
TCMF6289,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6290,TCMH621,Fructus tritici levis,浮小麦,TCMH621,
TCMFx6291,TCMH2716,Cercis chinensis bunge,紫荆皮,TCMH2716,
TCMFx6291,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6293,TCMH1337,Calamina,炉甘石,TCMH1337,
TCMFx6293,TCMH2610,Concha margaritifera usta;Margarita,珍珠母,TCMH2610,
TCMFx6293,TCMH400,,胆膏,TCMH400,
TCMFx6293,TCMH402,,蛋黄油,TCMH402,
TCMFx6293,TCMH558,,凡士林,TCMH558,
TCMFx6296,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6297,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMF6299,TCMH2526,,鱼鳔胶,TCMH2526,
TCMFx6300,TCMH1337,Calamina,炉甘石,TCMH1337,
TCMFx6300,TCMH402,,蛋黄油,TCMH402,
TCMFx6300,TCMH413,,胆糖膏,TCMH413,
TCMFx6300,TCMH2610,Concha margaritifera usta;Margarita,珍珠母,TCMH2610,
TCMFx6301,TCMH1026,Gallus gallus domesticus,鸡内金,TCMH1026,ACLB009-06
TCMFx6301,TCMH1595,,糯米,TCMH1595,
TCMF6304,TCMH2329,Realgar,雄黄,TCMH2329,
TCMF6304,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6311,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6311,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6311,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6316,TCMH1679,Calomelas,轻粉,TCMH1679,
TCMFx6317,TCMH1166,,九龙川,TCMH1166,
TCMFx6317,TCMH389,Gleditsiae sinensis fructus,大皂角,TCMH389,
TCMFx6317,TCMH1981,,双铁线,TCMH1981,
TCMFx6317,TCMH1282,Vincetoxicum paniculatum,了刁竹,TCMH1282,
TCMFx6317,TCMH2054,Schoepfia chinensis gardn,碎骨木,TCMH2054,
TCMFx6317,TCMH852,Calophyllum membranaceum gardn. et champ,横经席,TCMH852,
TCMFx6318,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6319,TCMH293,Manis pentadactyla,穿山甲,TCMH293,GBMA15413-17
TCMFx6319,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6319,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6319,TCMH1573,Bovis calculus,牛黄,TCMH1573,
TCMFx6319,TCMH233,Bufonis venenum,蟾酥,TCMH233,
TCMFx6320,TCMH1113,Bungarus parvus,金钱白花蛇,TCMH1113,
TCMFx6320,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx6320,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6322,TCMH621,Fructus tritici levis,浮小麦,TCMH621,
TCMFx6322,TCMH1594,Oryza sativa l. var. glutinosa matsum.,糯稻根,TCMH1594,
TCMFx6330,TCMH2329,Realgar,雄黄,TCMH2329,
TCMFx6330,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6331,TCMH2592,,樟油,TCMH2592,
TCMFx6332,TCMH1312,,硫酸亚铁,TCMH1312,
TCMFx6334,TCMH1617,Eriobotrya japonica thunb,枇杷叶,TCMH1617,ITSAN1970-14
TCMFx6334,TCMH1427,,买麻藤,TCMH1427,
TCMFx6334,TCMH2547,,鱼腥草索钠,TCMH2547,
TCMFx6334,TCMH2404,,盐酸依普拉酮,TCMH2404,
TCMFx6334,TCMH1049,,甲氧苄啶,TCMH1049,
TCMFx6334,TCMH948,,磺胺林,TCMH948,
TCMFx6335,TCMH1654,Minium,铅丹,TCMH1654,
TCMFx6335,TCMH1679,Calomelas,轻粉,TCMH1679,
TCMFx6335,TCMH1655,ceruse,铅粉,TCMH1655,
TCMFx6335,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx6335,TCMH54,Alumen,白矾,TCMH54,
TCMF6337,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6338,TCMH2138,,土藿香油,TCMH2138,
TCMFx6338,TCMH2724,,紫苏油,TCMH2724,
TCMF6339,TCMH1142,Schizonepetae spica,荆芥穗,TCMH1142,
TCMFx6340,TCMH787,Hippocampus,海马,TCMH787,
TCMFx6340,TCMH1477,,猕猴桃原汁干粉,TCMH1477,
TCMFx6340,TCMH2676,,猪脑粉,TCMH2676,
TCMFx6340,TCMH2397,,盐酸普鲁卡因,TCMH2397,
TCMFx6340,TCMH155,,苯甲酸,TCMH155,
TCMFx6340,TCMH1625,,偏重亚硫酸钾,TCMH1625,
TCMFx6340,TCMH2168,,维生素B,TCMH2168,
TCMFx6340,TCMH2171,,维生素E,TCMH2171,
TCMFx6340,TCMH1287,,磷酸三钙,TCMH1287,
TCMFx6340,TCMH2169,,维生素C,TCMH2169,
TCMFx6342,TCMH603,,复方一枝篙流浸膏,TCMH603,
TCMFx6342,TCMH506,,冬青油,TCMH506,
TCMF6343,TCMH2682,Cinnabaris,朱砂,TCMH2682,
TCMFx6344,TCMH174,Flos dolichoris,扁豆花,TCMH174,
TCMFx6344,TCMH933,Talcum,滑石,TCMH933,
TCMFx6344,TCMH1142,Schizonepetae spica,荆芥穗,TCMH1142,
TCMFx6346,TCMH787,Hippocampus,海马,TCMH787,
TCMFx6346,TCMH1477,,猕猴桃原汁干粉,TCMH1477,
TCMFx6346,TCMH2676,,猪脑粉,TCMH2676,
